display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,boxoffice,genre,director,writer,actor,awards
Radio Dreams,,1,GLENN KENNY,Review: ‘Radio Dreams’ Builds a Spiritual Home for Stateless Souls,A fictional San Francisco radio station provides a place for immigrants adrift to bond in the ether.,2017-05-31,2017-05-19,2017-11-02 4:18,18642,Comedy,Babak Jalali,"Babak Jalali (script by), Aida Ahadiany, Babak Jalali",Lars Ulrich,4 wins & 5 nominations.
Raees,,1,RACHEL SALTZ,"Review: Shah Rukh Khan as ‘Raees,’ a Villain but Still a Do-Gooder","The “king of Bollywood” rarely plays the bad guy, but in this film he’s a criminal who’s also fighting corruption in 1980s and ’90s India.",2017-01-26,2017-01-25,2017-11-02 4:18,NA,N/A,Vishnu Raaje,N/A,Yogeeta Bali,N/A
Rango,PG,1,A. O. SCOTT,"There’s a New Sheriff in Town, and He’s a Rootin’-Tootin’ Reptile","“Rango,” directed by Gore Verbinski and featuring the voice of Johnny Depp, delights in paying homage to a wide range of westerns.",2011-03-03,2011-03-04,2017-11-02 4:18,123188232,Animation,Gore Verbinski,"John Logan, John Logan (story), Gore Verbinski (story), James Ward Byrkit (story)",Johnny Depp,Won 1 Oscar. Another 45 wins & 24 nominations.
Raw,R,1,JEANNETTE CATSOULIS,"Review: Give a Student Some Offal, and You’ll Regret It in ‘Raw’",Julia Ducournau’s film unfolds during rush week in a nightmarish veterinary school.,2017-03-09,2017-03-10,2017-11-02 4:18,508425,Drama,Julia Ducournau,"Julia Ducournau (dialogue), Julia Ducournau (screenplay)",Garance Marillier,16 wins & 37 nominations.
Red Hill,R,1,JEANNETTE CATSOULIS,Western Meets Horror,“Red Hill” is a galloping revenge tale that uses young blood to unearth old sins.,2010-11-04,2010-11-05,2017-11-02 4:18,20898,Thriller,Patrick Hughes,Patrick Hughes,Ryan Kwanten,5 nominations.
Red White & Blue,,1,JEANNETTE CATSOULIS,Loose Connections That Lead to Horror,"In “Red White & Blue,” Amanda Fuller plays an aimless young woman whose poor choice in one-night stands catches up with her.",2010-10-07,2010-10-08,2017-11-02 4:18,NA,Drama,Simon Rumley,Simon Rumley,Amanda Fuller,3 wins & 6 nominations.
Redlegs,,1,JEANNETTE CATSOULIS,Three Young Men Reunited in Grief,"In “Redlegs,” by Brandon Harris, three friends are galvanized by the death of a buddy.",2012-05-24,2012-05-25,2017-11-02 4:18,NA,Drama,Brandon Harris,"Nick D'Agostino (story), Brandon Harris (story), Brandon Harris, Andrew Katz, Evan Louison, Nathan Ramos",Aimee Cucchiaro,N/A
Rejoice and Shout,PG,1,STEPHEN HOLDEN,The Power of Voices Lifted in Song,"“Rejoice and Shout,” a historical survey of African-American gospel music, illustrates how it evolved out of the fusion of plantation work songs and Christian hymns.",2011-06-02,2011-06-03,2017-11-02 4:18,100119,Documentary,Don McGlynn,N/A,Bill Carpenter,1 nomination.
Reset,,1,GIA KOURLAS,Review: ‘Reset’ Follows Benjamin Millepied’s Efforts to Rejuvenate Paris Opera Ballet,"The job didn’t work out in the end, but this riveting film documents a choreographer’s cheerfully tenacious effort as well as his work on one ballet.",2017-01-12,2017-01-13,2017-11-02 4:18,98574,Action,Hong-Seung Yoon,N/A,Mi Yang,1 nomination.
Restless Creature: Wendy Whelan,,1,BRIAN SEIBERT,"Review: In ‘Restless Creature,’ Wendy Whelan Dances Against the Clock","A documentary captures this ballerina at a critical moment in 2013, when she was both trying for a comeback and coming to terms with aging.",2017-05-23,2017-05-24,2017-11-02 4:18,NA,Documentary,"Linda Saffire, Adam Schlesinger",N/A,Wendy Whelan,1 nomination.
Restrepo,R,1,A. O. SCOTT,"Battle Company: Loving Life, Making War","The documentary “Restrepo,” which follows a company of American soldiers in Afghanistan, has the spare, lyrical force of an elegy.",2010-06-24,2010-08-06,2017-11-02 4:18,1330894,Documentary,"Tim Hetherington, Sebastian Junger",N/A,The Men of Battle Company 2nd of the 503rd Infantry Regiment 173rd Airborne Brigade Combat Team,Nominated for 1 Oscar. Another 10 wins & 19 nominations.
Return,Not Rated,1,STEPHEN HOLDEN,"Coming Home, When Home No Longer Seems the Same","Liza Johnson’s sober feature film debut, about a soldier returning from overseas duty, is a study of depression in a depressed environment.",2012-02-09,2012-02-10,2017-11-02 4:18,3.64E+08,Action,Peter Jackson,"J.R.R. Tolkien (novel), Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay)",Noel Appleby,Won 11 Oscars. Another 197 wins & 122 nominations.
Rid of Me,Not Rated,1,JEANNETTE CATSOULIS,Homemaker Devises a Suburban Smackdown,James Westby’s ingenious black comedy “Rid of Me” follows a woman’s desperate attempt to fit in with her husband’s not-so-welcoming former high-school clique.,2011-11-17,2011-11-18,2017-11-02 4:18,10373,Comedy,James Westby,James Westby (screenplay),Katie O'Grady,2 nominations.
Rio,G,1,ANDY WEBSTER,"Macaw Finds His Wings, and Much More, in Brazil","An animated comedy about a blue macaw’s adventures in Rio, with the voice of Jesse Eisenberg as Blu, the macaw.",2011-04-14,2011-04-15,2017-11-02 4:18,143613651,Animation,Carlos Saldanha,"Carlos Saldanha (story), Earl Richey Jones (story), Todd R. Jones (story), Don Rhymer (screenplay), Joshua Sternin (screenplay), J.R. Ventimilia (screenplay), Sam Harper (screenplay)",Karen Disher,Nominated for 1 Oscar. Another 3 wins & 29 nominations.
Rosenwald,,1,DANIEL M. GOLD,"Review: &#8216;Rosenwald,&#8217; on a Philanthropist Who Created Schools for Blacks in the Jim Crow South",Aviva Kempner&#8217;s documentary offers a stirring portrait of a Sears executive whose Rosenwald Fund dispensed fellowships to black artists and academics including W. E. B. Du Bois and James Baldwin.,2015-08-13,2015-08-14,2017-11-02 4:18,359187,Documentary,Aviva Kempner,Aviva Kempner,Peter Ascoli,1 nomination.
Rules Don’t Apply,PG-13,1,STEPHEN HOLDEN,Review: ‘Rules Don’t Apply’ Features Warren Beatty as Howard Hughes,"This film takes comic aim at Hollywood absurdity and at Hughes, the eccentric mogul.",2016-11-22,2016-11-23,2017-11-02 4:18,NA,NA,NA,NA,NA,NA
Rush,R,1,MANOHLA DARGIS,"Collision Course, as Rivals Follow Their Drives","Ron Howard’s “Rush” tells the story of James Hunt and Niki Lauda, Formula One titans and rivals who, in 1976, helped push racing into mainstream consciousness.",2013-09-19,2013-09-27,2017-11-02 4:18,22442876,Action,Ron Howard,Peter Morgan,Chris Hemsworth,Nominated for 2 Golden Globes. Another 6 wins & 63 nominations.
Sand Dollars,Not Rated,1,STEPHEN HOLDEN,"Review: ‘Sand Dollars,’ Unrequited Love in the Dominican Republic",Geraldine Chaplin falls for a much younger woman while on a Caribbean vacation.,2015-11-05,2015-11-06,2017-11-02 4:18,NA,Drama,"Israel Cárdenas, Laura Amelia Guzmán","Israel Cárdenas, Laura Amelia Guzmán, Jean-Noël Pancrazi (novel)",Geraldine Chaplin,6 wins & 10 nominations.
Sausage Party,R,1,A. O. SCOTT,‘Sausage Party’ Is an Animated Sex Comedy About Food ... and God,"In this free-spirited romp through the supermarket, potty-mouthed foodstuffs give voice to matters both humorous and spiritual.",2016-08-11,2016-08-12,2017-11-02 4:18,97661826,Animation,"Greg Tiernan, Conrad Vernon","Kyle Hunter (screenplay by), Ariel Shaffir (screenplay by), Seth Rogen (screenplay by), Evan Goldberg (screenplay by), Seth Rogen (story by), Evan Goldberg (story by), Jonah Hill (story by)",Alistair Abell,1 win & 24 nominations.
Savages,R,1,A. O. SCOTT,Stone and His Stoners Face the Weed Killers,"“Savages,” Oliver Stone’s feverish adaptation of Don Winslow’s drug-war novel, is a pulpy daylight noir, a western, a stoner buddy movie and a love story.",2012-07-05,2012-07-06,2017-11-02 4:18,47300000,Crime,Oliver Stone,"Shane Salerno (screenplay), Don Winslow (screenplay), Oliver Stone (screenplay), Don Winslow (novel)",Blake Lively,6 nominations.
Saving Banksy,Not Rated,1,ANDY WEBSTER,Review: ‘Saving Banksy’ Affirms Graffiti’s Populist Values,"This documentary honors the street-based work of the British artist known as Banksy, and implicitly criticizes those who would try to turn profits from it.",2017-01-19,2017-01-13,2017-11-02 4:18,47965,Documentary,Colin M. Day,"Éva Boros (story), Paul Polycarpou",Ben Eine,1 win & 1 nomination.
"Scheherazade, Tell Me a Story",,1,JEANNETTE CATSOULIS,"A TV Host Seeks Fluff, but Real Life Intrudes","Yousry Nasrallah’s “Scheherazade, Tell Me a Story” resets “The Arabian Nights” in modern-day Cairo.",2011-08-11,2011-08-12,2017-11-02 4:18,NA,Drama,Yousry Nasrallah,Wahid Hamid,Mona Zaki,6 wins & 1 nomination.
Scott Pilgrim vs. the World,PG-13,1,A. O. SCOTT,"This Girl Has a Lot of Baggage, and He Must Shoulder the Load","The speedy, funny, happy-sad spirit of “Scott Pilgrim vs. the World” is infectious.",2010-08-12,2010-08-13,2017-11-02 4:18,31494270,Action,Edgar Wright,"Michael Bacall (screenplay), Edgar Wright (screenplay), Bryan Lee O'Malley (Oni Press graphic novels)",Michael Cera,17 wins & 62 nominations.
Secret Sunshine,Not Rated,1,A. O. SCOTT,Fierce Tests of Endurance and the Resilience of the Spirit,"Lee Chang-dong is attentive to the routines and rhythms of everyday life in “Secret Sunshine.” But there is nothing ordinary about this movie, or about the story it tells.",2010-12-21,2010-12-22,2017-11-02 4:18,NA,Drama,Chang-dong Lee,"Chang-dong Lee, Chung-Joon Lee (novel)",Do-yeon Jeon,17 wins & 12 nominations.
See what I'm saying,PG-13,1,JEANNETTE CATSOULIS,"Deaf, and Trying to Make It in Showbiz",This documentary about deaf entertainers focuses on four performers with varying degrees of hearing impairment.,2010-04-08,2010-03-19,2017-11-02 4:18,NA,Documentary,Hilari Scarl,"Lisa Leeman (storyline consultant), Dalan Musson (consultant writer)",CJ Jones,2 wins.
Selma,PG-13,1,A. O. SCOTT,"A 50-Mile March, Nearly 50 Years Later","Ava DuVernay&#8217;s film &#8220;Selma&#8221; follows civil rights demonstrators in March 1965 across an Alabama bridge and into a new era for black Americans, with progress made and promises unkept.",2014-12-24,2015-01-09,2017-11-02 4:18,NA,Biography,Ava DuVernay,Paul Webb,David Oyelowo,Won 1 Oscar. Another 58 wins & 88 nominations.
Seoul Searching,,1,JEANNETTE CATSOULIS,"Review: In ‘Seoul Searching,’ Teenagers Explore Their Korean Roots to an ’80s Soundtrack","Set in 1986, the film introduces globally scattered youngsters to their heritage in a plot that both critiques and embraces stereotypes.",2016-06-16,2016-05-01,2017-11-02 4:18,8966,Comedy,Benson Lee,Benson Lee,Justin Chon,2 wins.
Shadowman,,1,GLENN KENNY,Review: ‘Shadowman’ Traces the Rise and Fall of an ’80s Artist,"Richard Hambleton, a peer of Jean-Michel Basquiat and Keith Haring who went underground, was painting right up until his death this fall.",2017-11-30,2017-12-01,2017-12-15 17:44,NA,Mystery,Georges Franju,Jacques Champreux,Gayle Hunnicutt,N/A
Shaun the Sheep Movie,PG,1,NEIL GENZLINGER,"Review: In &#8216;Shaun the Sheep Movie,&#8217; a Flock Heads to the City to Find Its Farmer","In this stop-motion animation film, from the studio that made &#8220;Wallace & Gromit,&#8221; the sheep run into trouble in their urban adventure.",2015-08-04,2015-08-05,2017-11-02 4:18,NA,Animation,"Mark Burton, Richard Starzak","Mark Burton, Richard Starzak, Nick Park (characters created by)",Justin Fletcher,Nominated for 1 Oscar. Another 4 wins & 48 nominations.
Side Effects,R,1,A. O. SCOTT,"May Cause Greed, Lust or Retirement",Steven Soderbergh’s “Side Effects” follows twists and turns involving a fictitious antidepressant (which has its own real Web site).,2013-02-07,2013-02-08,2017-11-02 4:18,32154410,Crime,Steven Soderbergh,Scott Z. Burns,Rooney Mara,5 nominations.
Silver Linings Playbook,R,1,MANOHLA DARGIS,The Calm Before the Kablooey,"“Silver Linings Playbook,” directed by David O. Russell, finds a man, played by Bradley Cooper, returning home after a stint in a mental institution.",2012-11-15,2012-12-25,2017-11-02 4:18,132088910,Comedy,David O. Russell,"David O. Russell (screenplay), Matthew Quick (novel)",Bradley Cooper,Won 1 Oscar. Another 88 wins & 145 nominations.
Skyfall,PG-13,1,MANOHLA DARGIS,What a Man! What a Suit!,"Daniel Craig returns as James Bond in “Skyfall,” a playful 007 movie with exotic locales, an island fortress and a fight on a moving train.",2012-11-07,2012-11-09,2017-11-02 4:18,299300000,Action,Sam Mendes,"Neal Purvis, Robert Wade, John Logan, Ian Fleming (characters)",Daniel Craig,Won 2 Oscars. Another 65 wins & 119 nominations.
Solitary Man,R,1,A. O. SCOTT,"Yes, He’s a Jerk, but There’s Something About Ben","In “Solitary Man,” Michael Douglas plays a liar, cynic, compulsive womanizer and all-around jerk.",2010-05-20,2010-06-25,2017-11-02 4:18,4360548,Comedy,"Brian Koppelman, David Levien",Brian Koppelman,Michael Douglas,2 wins & 3 nominations.
"Something, Anything",,1,JEANNETTE CATSOULIS,"Finding Her Way Back in Small, Slow Steps","In &#8220;Something, Anything,&#8221; a young newlywed disrupts her closest relationships as she tries to put her life back together after a traumatic loss.",2015-01-08,2015-01-09,2017-11-02 4:18,NA,Drama,Paul Harrill,Paul Harrill,Ashley Shelton,1 win & 1 nomination.
Somewhere,R,1,A. O. SCOTT,"The Pampered Life, Viewed From the Inside","Sofia Coppola’s new film presents a star who has everything, including emptiness.",2010-12-21,2011-01-21,2017-11-02 4:18,1768416,Comedy,Sofia Coppola,Sofia Coppola,Stephen Dorff,4 wins & 7 nominations.
Song to Song,R,1,MANOHLA DARGIS,"Review: ‘Song to Song,’ Terrence Malick’s Latest Beautiful Puzzle","This drama about intersecting love lives features themes like betrayal, identity and art. Religion appears, too, in the film, set in Austin, Tex.",2017-03-16,2017-03-17,2017-11-02 4:18,421856,Drama,Terrence Malick,Terrence Malick,Ryan Gosling,8 nominations.
Soufra,,1,ANDY WEBSTER,"Review: In ‘Soufra,’ a Women-Run Food Truck Grows in Lebanon","This documentary from Thomas Morgan, about a female entrepreneur establishing a business just south of Beirut, is a stirring tale of empowerment.",2017-12-14,2017-12-15,2017-12-22 17:44,NA,NA,NA,NA,NA,NA
Splice,R,1,MANOHLA DARGIS,"Careful, That Test Tube Might Be Incubating a Bouncing Baby Monster","Adrien Brody and Sarah Polley star in a horror film that manages to touch on bioethics, abortion and Freudian family dynamics.",2010-06-03,2010-06-04,2017-11-02 4:18,16999046,Drama,Vincenzo Natali,"Vincenzo Natali (screenplay), Antoinette Terry Bryant (screenplay), Doug Taylor (screenplay), Vincenzo Natali (story), Antoinette Terry Bryant (story)",Adrien Brody,4 wins & 23 nominations.
Spotlight,R,1,A. O. SCOTT,"Review: In ‘Spotlight,’ The Boston Globe Digs Up the Catholic Church’s Dirt ","In this gripping detective story, a small group of reporters exposes the church’s role in covering up the sexual abuse of children by priests.",2015-11-05,2015-11-25,2017-11-02 4:18,NA,Crime,Tom McCarthy,"Josh Singer, Tom McCarthy",Mark Ruffalo,Won 2 Oscars. Another 119 wins & 138 nominations.
Spring Breakers,R,1,MANOHLA DARGIS,Debauchery and the American Experience (Woo-Hoo!),“Spring Breakers” delves into a deeply American topic: the pursuit of happiness taken to nihilistic extremes.,2013-03-14,2013-03-22,2017-11-02 4:18,13900000,Crime,Harmony Korine,Harmony Korine,James Franco,11 wins & 32 nominations.
St. Nick,,1,ANDY WEBSTER,Portrait of Childhood,“St. Nick” has a brother and sister on the run. “Pioneer” is a short that grows out of a bedtime story.,2011-04-21,2011-04-22,2017-11-02 4:18,NA,Drama,David Lowery,David Lowery,Savanna Sears,3 wins & 1 nomination.
Star Wars: The Last Jedi,PG-13,1,MANOHLA DARGIS,Review: ‘Star Wars: The Last Jedi’ Embraces the Magic and Mystery,"With charm and wit, the latest “Star Wars” movie unites the past and present as it looks toward the future.",2017-12-12,2017-12-15,2018-01-12 17:44,619117636,Action,Rian Johnson,"Rian Johnson, George Lucas (based on characters created by)",Mark Hamill,Nominated for 4 Oscars. Another 12 wins & 71 nominations.
Starving the Beast,Not Rated,1,DANIEL M. GOLD,Review: ‘Starving the Beast’ Traces the Burdens of Higher Education Defunding,This documentary by Steve Mims describes an ideological war over public higher education that is being conducted state by state.,2016-09-08,2016-09-02,2017-11-02 4:18,NA,Documentary,Steve Mims,Steve Mims,N/A,1 nomination.
Steve Jobs,R,1,A. O. SCOTT,"Review: ‘Steve Jobs,’ Apple’s Visionary C.E.O. Dissected",The movie burnishes the image of Apple’s co-founder even as it tries to peek behind the curtain at the gimcrack machinery of omnipotence.,2015-10-08,2015-10-23,2017-11-02 4:18,12403169,Biography,Danny Boyle,"Aaron Sorkin (screenplay), Walter Isaacson (book)",Michael Fassbender,Nominated for 2 Oscars. Another 28 wins & 109 nominations.
Stones in the Sun,,1,STEPHEN HOLDEN,The Old Country Never Goes Away ,Haitian exiles in New York City are forced to confront the pain of their shared history in &#8220;Stones in the Sun.&#8221;,2014-11-20,2014-11-21,2017-11-02 4:18,NA,Drama,Patricia Benoit,Patricia Benoit,Edwidge Danticat,2 wins.
Stonewall Uprising,Not Rated,1,STEPHEN HOLDEN,"June 28, 1969: Turning Point in Gay Rights History",“Stonewall Uprising” examines a police raid on the Stonewall Inn in Greenwich Village that touched off three days of unrest.,2010-06-15,2010-06-16,2017-11-02 4:18,127940,Documentary,"Kate Davis, David Heilbroner","David Carter (original story), David Heilbroner",Paul Bosche,1 nomination.
